outcome,bin,avg_pred,actual,error,count
home,1,0.12133586915611204,0.0625,-0.05883586915611204,176
home,2,0.1795869609033483,0.14857142857142858,-0.031015532331919726,175
home,3,0.22032417862314368,0.22285714285714286,0.00253296423399918,175
home,4,0.2585954104867129,0.24571428571428572,-0.0128811247724272,175
home,5,0.2879931492612195,0.24571428571428572,-0.042278863546933776,175
home,6,0.3148743306210463,0.25142857142857145,-0.06344575919247486,175
home,7,0.34245115873488413,0.3409090909090909,-0.0015420678257932474,176
home,8,0.3674951842287894,0.37142857142857144,0.003933387199782035,175
home,9,0.3919006753885738,0.35428571428571426,-0.037614961102859557,175
home,10,0.4116723505710963,0.4742857142857143,0.06261336371461801,175
home,11,0.4360147983298805,0.41714285714285715,-0.018871941187023344,175
home,12,0.46226734702480105,0.4857142857142857,0.023446938689484664,175
home,13,0.4875105581428215,0.41714285714285715,-0.07036770099996437,175
home,14,0.5141701154724239,0.5340909090909091,0.0199207936184852,176
home,15,0.5449420973280953,0.5371428571428571,-0.007799240185238143,175
home,16,0.5794764579401476,0.5885714285714285,0.009094970631280952,175
home,17,0.6220292246519119,0.5885714285714285,-0.03345779608048338,175
home,18,0.6677414973756213,0.6857142857142857,0.017972788338664447,175
home,19,0.7187691482488316,0.7828571428571428,0.06408799460831116,175
home,20,0.8019438758174295,0.8465909090909091,0.04464703327347952,176
draw,1,0.12488985020880151,0.09090909090909091,-0.0339807592997106,176
draw,2,0.16588392445421632,0.17142857142857143,0.005544646974355111,175
draw,3,0.18876692497255337,0.17714285714285713,-0.011624067829696244,175
draw,4,0.2053613880351107,0.24,0.03463861196488929,175
draw,5,0.21823380927456096,0.21714285714285714,-0.0010909521317038207,175
draw,6,0.22867029664534264,0.2342857142857143,0.005615417640371656,175
draw,7,0.23826065053182546,0.24431818181818182,0.00605753128635636,176
draw,8,0.24660889575673345,0.21714285714285714,-0.02946603861387631,175
draw,9,0.2532394873039368,0.21142857142857144,-0.04181091587536537,175
draw,10,0.25804245740420584,0.24571428571428572,-0.01232817168992012,175
draw,11,0.2635183635327385,0.24,-0.023518363532738507,175
draw,12,0.268880041518637,0.2914285714285714,0.022548529909934445,175
draw,13,0.273592846413532,0.2914285714285714,0.01783572501503944,175
draw,14,0.2783777205587601,0.2784090909090909,3.137035033079494e-05,176
draw,15,0.28339907568326783,0.2914285714285714,0.008029495745303594,175
draw,16,0.2888234451746263,0.34285714285714286,0.054033697682516535,175
draw,17,0.29500159516567726,0.2914285714285714,-0.0035730237371058293,175
draw,18,0.30254196129974226,0.32,0.01745803870025775,175
draw,19,0.31215576505063347,0.32,0.007844234949366535,175
draw,20,0.3298724895252278,0.32386363636363635,-0.006008853161591443,176
away,1,0.0693245200898356,0.06818181818181818,-0.0011427019080174211,176
away,2,0.10459141693642098,0.06285714285714286,-0.041734274079278114,175
away,3,0.13124081571674245,0.11428571428571428,-0.01695510143102817,175
away,4,0.15607749006991345,0.17714285714285713,0.02106536707294368,175
away,5,0.18084286339836547,0.18857142857142858,0.007728565173063112,175
away,6,0.2003914185357122,0.18285714285714286,-0.017534275678569355,175
away,7,0.21953928245403,0.2215909090909091,0.002051626636879078,176
away,8,0.23798347708896112,0.22285714285714286,-0.01512633423181825,175
away,9,0.25798367425188845,0.24,-0.01798367425188846,175
away,10,0.2766835776705265,0.25142857142857145,-0.025255006241955036,175
away,11,0.2973468007433265,0.30857142857142855,0.011224627828102074,175
away,12,0.315906722609644,0.32571428571428573,0.009807563104641759,175
away,13,0.337985603984582,0.2914285714285714,-0.04655703255601057,175
away,14,0.36574483875037145,0.38636363636363635,0.020618797613264905,176
away,15,0.39615873432966536,0.4742857142857143,0.07812697995604895,175
away,16,0.43001731685320066,0.46285714285714286,0.032839826003942196,175
away,17,0.4704791409268955,0.5085714285714286,0.03809228764453304,175
away,18,0.5230327316334294,0.5428571428571428,0.019824411223713367,175
away,19,0.5827281846356205,0.6228571428571429,0.040128958221522404,175
away,20,0.6901769421413283,0.7045454545454546,0.014368512404126288,176
