league,outcome,bin,avg_pred,actual,error,count
Premier League,home,1,0.12187430135893366,0.05263157894736842,-0.06924272241156525,38
Premier League,home,2,0.18136318641197083,0.07894736842105263,-0.1024158179909182,38
Premier League,home,3,0.21947749373815525,0.2631578947368421,0.043680400998686836,38
Premier League,home,4,0.25410870918184986,0.15789473684210525,-0.0962139723397446,38
Premier League,home,5,0.28261073673290704,0.2631578947368421,-0.01945284199606495,38
Premier League,home,6,0.31224805906782166,0.2631578947368421,-0.04909016433097957,38
Premier League,home,7,0.33544213437056725,0.2894736842105263,-0.04596845016004092,38
Premier League,home,8,0.3629158285162178,0.5526315789473685,0.1897157504311507,38
Premier League,home,9,0.3926640914257494,0.34210526315789475,-0.05055882826785463,38
Premier League,home,10,0.41436171381344966,0.4473684210526316,0.03300670723918192,38
Premier League,home,11,0.439451726414503,0.39473684210526316,-0.04471488430923981,38
Premier League,home,12,0.4702097613399102,0.5,0.029790238660089785,38
Premier League,home,13,0.4991842121976567,0.6052631578947368,0.10607894569708015,38
Premier League,home,14,0.5273579429657125,0.34210526315789475,-0.18525267980781773,38
Premier League,home,15,0.5618404015259525,0.5526315789473685,-0.00920882257858402,38
Premier League,home,16,0.5937723174515497,0.5789473684210527,-0.014824949030497026,38
Premier League,home,17,0.6308172789109492,0.5263157894736842,-0.104501489437265,38
Premier League,home,18,0.6721663303495665,0.5789473684210527,-0.09321896192851387,38
Premier League,home,19,0.7168447032313384,0.7368421052631579,0.019997402031819433,38
Premier League,home,20,0.8012190689533218,0.8157894736842105,0.014570404730888664,38
Premier League,draw,1,0.12593672956759291,0.13157894736842105,0.005642217800828131,38
Premier League,draw,2,0.16515705935368713,0.15789473684210525,-0.007262322511581876,38
Premier League,draw,3,0.1845987364428142,0.21052631578947367,0.025927579346659485,38
Premier League,draw,4,0.20205709122522453,0.2894736842105263,0.0874165929853018,38
Premier League,draw,5,0.21392692830065055,0.21052631578947367,-0.003400612511176876,38
Premier League,draw,6,0.22215749703781396,0.2631578947368421,0.041000397699028135,38
Premier League,draw,7,0.22917012021883865,0.39473684210526316,0.16556672188642452,38
Premier League,draw,8,0.2363611964926444,0.18421052631578946,-0.05215067017685493,38
Premier League,draw,9,0.24347136485421655,0.2631578947368421,0.019686529882625536,38
Premier League,draw,10,0.24972904974216928,0.3157894736842105,0.06606042394204123,38
Premier League,draw,11,0.25420261387974685,0.21052631578947367,-0.04367629809027318,38
Premier League,draw,12,0.25759942269707675,0.2894736842105263,0.031874261513449575,38
Premier League,draw,13,0.26176761693278483,0.21052631578947367,-0.05124130114331116,38
Premier League,draw,14,0.2663682025226449,0.42105263157894735,0.15468442905630242,38
Premier League,draw,15,0.2709408447511626,0.21052631578947367,-0.06041452896168892,38
Premier League,draw,16,0.27596556909758246,0.23684210526315788,-0.03912346383442458,38
Premier League,draw,17,0.2800764863129941,0.3684210526315789,0.08834456631858484,38
Premier League,draw,18,0.2840192587887238,0.2631578947368421,-0.020861364051881714,38
Premier League,draw,19,0.28908636237078617,0.23684210526315788,-0.052244257107628284,38
Premier League,draw,20,0.30199618766238195,0.3157894736842105,0.013793286021828555,38
Premier League,away,1,0.06965398098895725,0.10526315789473684,0.03560917690577958,38
Premier League,away,2,0.1099790644581151,0.02631578947368421,-0.0836632749844309,38
Premier League,away,3,0.13211387297208232,0.13157894736842105,-0.0005349256036612793,38
Premier League,away,4,0.15534670575364115,0.21052631578947367,0.05517961003583252,38
Premier League,away,5,0.17937565001103403,0.18421052631578946,0.004834876304755431,38
Premier League,away,6,0.19967116679273078,0.2631578947368421,0.06348672794411131,38
Premier League,away,7,0.22050110208538368,0.2894736842105263,0.06897258212514265,38
Premier League,away,8,0.24004549580529858,0.15789473684210525,-0.08215075896319332,38
Premier League,away,9,0.2648223117506204,0.21052631578947367,-0.054295995961146704,38
Premier League,away,10,0.2875541163345477,0.3684210526315789,0.08086693629703123,38
Premier League,away,11,0.30824634086745445,0.34210526315789475,0.033858922290440296,38
Premier League,away,12,0.3278280232259092,0.3684210526315789,0.04059302940566972,38
Premier League,away,13,0.3561441604261004,0.2894736842105263,-0.06667047621557409,38
Premier League,away,14,0.3850646391504602,0.3684210526315789,-0.01664358651888126,38
Premier League,away,15,0.41342360687940155,0.47368421052631576,0.06026060364691421,38
Premier League,away,16,0.4461617228296332,0.34210526315789475,-0.10405645967173843,38
Premier League,away,17,0.4852479846456964,0.5526315789473685,0.06738359430167207,38
Premier League,away,18,0.5334014087169452,0.47368421052631576,-0.05971719819062943,38
Premier League,away,19,0.5893841119119964,0.5526315789473685,-0.03675253296462788,38
Premier League,away,20,0.6915161981843726,0.7631578947368421,0.07164169655246955,38
Bundesliga,home,1,0.1161666352062659,0.06451612903225806,-0.051650506174007835,31
Bundesliga,home,2,0.20075098930579197,0.12903225806451613,-0.07171873124127584,31
Bundesliga,home,3,0.25200170133159294,0.2,-0.05200170133159293,30
Bundesliga,home,4,0.2822327291502071,0.12903225806451613,-0.15320047108569096,31
Bundesliga,home,5,0.31597824437555616,0.2,-0.11597824437555615,30
Bundesliga,home,6,0.34546408738657663,0.25806451612903225,-0.08739957125754438,31
Bundesliga,home,7,0.36535597067055986,0.16666666666666666,-0.1986893040038932,30
Bundesliga,home,8,0.3862710005215762,0.3225806451612903,-0.06369035536028589,31
Bundesliga,home,9,0.4044763715624093,0.4,-0.004476371562409265,30
